Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030662	1296	514	517	1749	787	926	653	803	737	892	1101	1135	886.72	731	1043	1.428	0.514	3.421	0.000624188255788794	0.0100718202795485	0.0131	0.0164	0.015	0.015	TRUE	0.2008
FBgn0039538	148	52	48	220	92	134	75	81	68	112	129	164	104.88	75	135	1.795	0.844	3.412	0.000645270579066994	0.0103370954096218	0.0177	0.0429	0.033	0.033	TRUE	0.3536
FBgn0034249	870	255	362	1141	491	556	438	399	516	582	687	681	550.43	451	650	1.439	0.525	3.405	0.000660444521834193	0.0105233977745566	0.0096	0.0186	0.0151	0.0151	TRUE	0.1695
FBgn0035091	774	188	255	1102	358	390	390	294	363	562	501	478	431.28	349	514	1.466	0.552	3.396	0.000683975153265404	0.0108454068796855	0.011	0.0201	0.0164	0.0164	TRUE	0.2003
FBgn0031148	3839	1452	1836	5201	2606	3262	1934	2269	2616	2652	3645	3998	2852.35	2273	3432	1.51	0.595	3.395	0.000685591240361937	0.0108464674563122	0.0314	0.0139	0.0217	0.0217	TRUE	0.4863
FBgn0030456	1108	392	409	1456	582	654	558	613	583	742	814	802	685.26	585	786	1.346	0.428	3.393	0.000691256108375986	0.0108498785328578	0.0016	0.0174	0.0099	0.0099	TRUE	0.0302
FBgn0063494	2846	797	1008	4012	1239	1449	1433	1246	1436	2046	1733	1776	1611.68	1372	1852	1.35	0.433	3.394	0.000689048739513162	0.0108498785328578	0.0064	0.0148	0.011	0.011	TRUE	0.1047
FBgn0262081	13232	4794	4434	16854	6637	7137	6665	7492	6318	8594	9283	8748	7849.92	6825	8875	1.3	0.379	3.395	0.000687084906890305	0.0108498785328578	0.0045	0.0132	0.0088	0.0088	TRUE	0.0883
FBgn0002543	1431	637	536	2178	909	955	721	996	764	1111	1271	1171	1005.42	827	1184	1.436	0.522	3.391	0.000695244491934093	0.0108641099818543	0.0168	0.016	0.0159	0.0159	TRUE	0.3674
FBgn0261842	61	20	43	143	62	92	31	31	61	73	87	113	65.94	41	91	2.24	1.164	3.372	0.000746933707512727	0.0116107129717554	0.0785	0.0606	0.0665	0.0665	TRUE	0.7951
FBgn0034259	1558	486	608	2091	725	929	785	760	866	1066	1014	1139	938.25	804	1073	1.336	0.418	3.369	0.000754561272150531	0.01168848217573	0.0025	0.0162	0.0099	0.0099	TRUE	0.0524
FBgn0264895	536	138	134	787	228	279	270	216	191	401	319	342	289.79	226	354	1.56	0.642	3.369	0.000754319358446164	0.01168848217573	0.02	0.0237	0.0222	0.0222	TRUE	0.377
FBgn0034013	2508	956	927	3251	1374	1558	1263	1494	1321	1658	1922	1910	1594.54	1359	1830	1.347	0.429	3.367	0.000759119679218287	0.0117183344589208	0.0063	0.0148	0.011	0.011	TRUE	0.0882
FBgn0259935	82	32	23	175	61	58	41	50	33	89	85	71	61.62	41	82	1.994	0.996	3.367	0.000759025146668042	0.0117183344589208	0.0032	0.064	0.0438	0.0438	TRUE	0.171
FBgn0031816	247	92	109	369	176	203	124	144	155	188	246	249	184.44	141	228	1.616	0.692	3.362	0.000773340960906364	0.0118966285644093	0.0163	0.0299	0.0243	0.0243	TRUE	0.2949
FBgn0014163	7497	2305	2299	10447	3066	3804	3776	3602	3276	5327	4288	4663	4155.36	3551	4759	1.34	0.423	3.355	0.000794025259897696	0.0121727762304798	0.0083	0.0136	0.0112	0.0112	TRUE	0.1342
FBgn0264343	56	9	8	222	29	29	28	14	11	113	41	36	40.5	18	63	3.429	1.778	3.353	0.000800179243800382	0.0122041036378938	0.3052	0.0906	0.165	0.165	TRUE	4.9802
