Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0031771	3648	1287	1550	2845	1221	1524	1837	2011	2209	1451	1708	1868	1847.29	2019	1676	0.827	-0.275	-3.178	0.0014830147928371	0.0118667760753004	0.0026	0.0059	0.0048	0.0048	TRUE	NA
FBgn0033890	2200	831	948	1557	835	914	1108	1299	1351	794	1168	1120	1139.94	1253	1027	0.808	-0.307	-3.177	0.00148989494959344	0.0118892225064246	0.0038	0.0068	0.0058	0.0058	TRUE	NA
FBgn0052133	4839	1417	1268	3402	1273	1291	2437	2215	1807	1735	1780	1582	1926.02	2153	1699	0.791	-0.339	-3.176	0.00149068840206076	0.0118892225064246	0.0119	0.0059	0.0076	0.0076	TRUE	NA
FBgn0259228	13001	5322	4782	9846	4647	5124	6548	8317	6814	5021	6499	6280	6580	7226	5933	0.818	-0.291	-3.177	0.00148741914808013	0.0118892225064246	0.0068	0.0049	0.0059	0.0059	TRUE	NA
FBgn0264493	2976	822	754	2352	703	748	1499	1285	1074	1199	983	917	1159.56	1286	1033	0.804	-0.315	-3.174	0.00150325957409587	0.0119751186411027	0.0046	0.0068	0.0061	0.0061	TRUE	NA
FBgn0005386	1885	595	554	1502	502	532	949	930	789	766	702	652	798.13	889	707	0.795	-0.331	-3.165	0.00154904633047717	0.012317883999253	0.0034	0.0078	0.0065	0.0065	TRUE	NA
FBgn0027506	1167	348	420	889	324	372	588	544	598	453	453	456	515.42	577	454	0.786	-0.347	-3.164	0.00155378872475611	0.0123446025908114	0	0.0096	0.0066	0.0066	TRUE	NA
FBgn0034365	728	273	286	615	208	230	367	427	408	314	291	282	347.88	401	296	0.747	-0.422	-3.164	0.00155698509929706	0.0123590017215313	0.004	0.012	0.0097	0.0097	TRUE	NA
FBgn0033192	1146	441	368	861	345	341	577	689	524	439	483	418	521.72	597	447	0.749	-0.417	-3.158	0.00158622336666556	0.012557601652769	0.012	0.0095	0.0105	0.0105	TRUE	NA
FBgn0036004	4610	1488	1349	3528	1315	1362	2322	2325	1922	1799	1839	1669	1979.53	2190	1769	0.808	-0.308	-3.154	0.00161226133631824	0.0127366340875318	0.0071	0.0059	0.0063	0.0063	TRUE	NA
